epoch,train_loss,train_accuracy,val_loss,val_accuracy,emissions_kg,energy_kwh,duration_seconds,model,database,device,optimizer,loss_function,weight_decay,scheduler,seed,temperature
1,2.181218,0.202500,0.559869,0.190000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
2,0.504728,0.203125,0.307556,0.190000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
3,0.306186,0.206875,0.224192,0.195000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
4,0.227282,0.203125,0.175925,0.187500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
5,0.196447,0.202500,0.154262,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
6,0.166719,0.205000,0.137095,0.220000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
7,0.152945,0.213750,0.126124,0.225000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
8,0.141702,0.212500,0.123849,0.190000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
9,0.131129,0.205625,0.117416,0.195000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
10,0.126910,0.207500,0.111218,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
11,0.118453,0.206875,0.108238,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
12,0.117183,0.207500,0.107415,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
13,0.117201,0.207500,0.107454,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
14,0.117180,0.207500,0.107272,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
15,0.114638,0.207500,0.106694,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
16,0.112620,0.208125,0.106002,0.200000,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
17,0.113951,0.206875,0.105315,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
18,0.113175,0.206875,0.104445,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
19,0.112798,0.206250,0.104635,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
20,0.111625,0.208750,0.103592,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
21,0.110928,0.208125,0.103745,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
22,0.111304,0.207500,0.103641,0.202500,,,,resnet18,cifar10,cpu,adamw,simclr,0.0005,"{'type': 'step_lr', 'params': {'step_size': 10, 'gamma': 0.1}}",1,0.1
