epoch,train_loss,train_accuracy,val_loss,val_accuracy,emissions_kg,energy_kwh,duration_seconds,model,database,device,optimizer,loss_function,weight_decay,scheduler,seed
1,1.376650,0.278125,1.313371,0.405000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
2,1.290731,0.470625,1.247625,0.540000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
3,1.215651,0.599375,1.182426,0.617500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
4,1.144846,0.664375,1.117493,0.667500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
5,1.074347,0.713125,1.050056,0.700000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
6,1.003418,0.765000,0.982848,0.740000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
7,0.933422,0.803750,0.916930,0.772500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
8,0.863548,0.827500,0.852827,0.797500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
9,0.795623,0.848125,0.791313,0.805000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
10,0.730888,0.865625,0.733205,0.822500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
11,0.670511,0.883750,0.679745,0.840000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
12,0.614746,0.891250,0.629040,0.855000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
13,0.564353,0.903125,0.582182,0.860000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
14,0.518960,0.913125,0.540223,0.870000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
15,0.479004,0.923125,0.503049,0.882500,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
16,0.442955,0.933125,0.469554,0.900000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
17,0.410639,0.940000,0.439176,0.900000,,,,resnet18,cifar10,cpu,adam,cross_entropy,0.0,"{'type': 'none', 'params': {}}",42
